Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
220223963,Not Quite Dead Yet,Holly  Jackson,"Jackson, Holly",,"=""059397705X""","=""9780593977057""",0,4.03,Bantam,Hardcover,392,2025,2025,2026/02/21,2026/02/21,,,read,,,,1,0
238365535,Dear Debbie,Freida McFadden,"McFadden, Freida",,"=""1464249628""","=""9781464249624""",0,4.05,Poisoned Pen Press,Paperback,336,2026,2026,2026/02/19,2026/02/18,,,read,,,,1,0
231127462,My Husband's Wife,Alice Feeney,"Feeney, Alice",,"=""125033781X""","=""9781250337818""",0,4.19,Flatiron Books: Pine & Cedar,Hardcover,310,2026,2026,2026/02/18,2026/02/18,,,read,,,,1,0
2142,Blink,Ted Dekker,"Dekker, Ted",,"=""0849945119""","=""9780849945113""",0,4.14,W Pub Group,Paperback,389,2004,2002,2026/02/15,2026/02/12,,,read,,,,1,0
125963,Thr3e,Ted Dekker,"Dekker, Ted",,"=""1595543414""","=""9781595543417""",0,4.07,Westbow Pr,Paperback,423,2006,2003,2026/02/12,2026/02/12,,,read,,,,1,0
215998781,It Should Have Been You,Andrea Mara,"Mara, Andrea",,"=""1529927803""","=""9781529927801""",0,3.89,Transworld Digital,Kindle Edition,386,2025,2026,2026/02/10,2026/02/03,,,read,,,,1,0
57937453,All Her Fault,Andrea Mara,"Mara, Andrea",,"=""1473589444""","=""9781473589445""",0,4.12,Transworld Digital,Kindle Edition,389,2021,2021,2026/02/08,2026/02/03,,,read,,,,1,0
231681636,A Box Full of Darkness,Simone St. James,"James, Simone St.",,"=""0593200411""","=""9780593200414""",0,3.84,Berkley,Hardcover,352,2026,2026,,2026/02/05,to-read,to-read (#34),to-read,,,,0,0
8664353,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,"Hillenbrand, Laura",,"=""1400064163""","=""9781400064168""",0,4.39,Random House,Hardcover,475,2010,2010,,2025/03/20,,,read,,,,2,0
143704302,The Girls in the Cabin,Caleb  Stephens,"Stephens, Caleb",,"=""1804058866""","=""9781804058862""",0,3.81,Joffe Books,Kindle Edition,314,2023,2023,2026/02/01,2026/02/01,,,read,,,,1,0
59344312,Verity,Colleen Hoover,"Hoover, Colleen",,"=""153872474X""","=""9781538724743""",0,4.29,Grand Central Publishing,ebook,336,2021,2018,2026/01/30,2026/01/30,,,read,,,,1,0
59808050,Daisy Darker,Alice Feeney,"Feeney, Alice",,"=""1250843936""","=""9781250843937""",0,3.76,Flatiron Books,Hardcover,352,2022,2022,2026/01/29,2026/01/29,,,read,,,,1,0
56269064,Rock Paper Scissors,Alice Feeney,"Feeney, Alice",,"=""1250266106""","=""9781250266101""",0,3.88,Flatiron Books,Hardcover,294,2021,2021,2026/01/27,2026/01/26,,,read,,,,1,0
45885495,His & Hers,Alice Feeney,"Feeney, Alice",,"=""1250266076""","=""9781250266071""",0,4.10,Flatiron Books,Hardcover,304,2020,2020,2026/01/21,2026/01/13,,,read,,,,1,0
830502,It,Stephen  King,"King, Stephen",,"=""0450411435""","=""9780450411434""",0,4.24,New English Library,Paperback,1184,1987,1986,2026/01/17,2025/04/03,,,read,,,,2,0
243602648,The Shockwave Manifesto: A Sadie Gray FBI Mystery Series,R.B. Schow,"Schow, R.B.",Bailey James,"=""""","=""""",0,4.62,River City Publishing,Kindle Edition,327,2026,,,2026/01/19,to-read,to-read (#33),to-read,,,,0,0
43933,Tell No One,Harlan Coben,"Coben, Harlan",,"=""0440236703""","=""9780440236702""",0,4.06,Dell Publishing Company,Mass Market Paperback,370,2009,2001,2026/01/09,2026/01/09,,,read,,,,1,0
44781614,Run Away,Harlan Coben,"Coben, Harlan",,"=""1780894260""","=""9781780894263""",0,4.06,Century,Paperback,384,2019,2019,2026/01/08,2026/01/08,,,read,,,,1,0
59817247,Do You Remember?,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,3.92,Hollywood Upstairs Press,Kindle Edition,334,2022,2022,2026/01/05,2026/01/05,,,read,,,,1,0
52636419,The Wife Upstairs,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,4.03,Hollywood Upstairs Press,Kindle Edition,382,2020,2020,2026/01/04,2026/01/04,,,read,,,,1,0
